id,name,market_cap,market_cap_change_percentage_24h
bitcoin,Bitcoin,184321347134,1.93363
ethereum,Ethereum,20194785541,0.2799
ripple,XRP,11506596122,-0.89691
bitcoin-cash,Bitcoin Cash,5552888799,1.83048
litecoin,Litecoin,4678221345,2.24575
binancecoin,Binance Coin,4015968955,-0.55781
eos,EOS,3656725611,1.03853
tether,Tether,3556747784,-0.06536
bitcoin-cash-sv,Bitcoin SV,2389296832,0.58827
cardano,Cardano,1552310884,-1.58516
